"AccessionID","Location"
"EPI_ISL_1919986","Perak"
"EPI_ISL_1919987","Perak"
"EPI_ISL_1921767","Perak"
"EPI_ISL_1921769","Perak"
"EPI_ISL_1921770","Perak"
"EPI_ISL_1807185","Selangor"
"EPI_ISL_1807207","Selangor"
"EPI_ISL_1972356","Selangor"
"EPI_ISL_1972365","Kedah"
"EPI_ISL_1972366","Kedah"
"EPI_ISL_1972533","Kedah"
"EPI_ISL_1972534","Selangor"
"EPI_ISL_1972535","Selangor"
"EPI_ISL_1972536","Selangor"
"EPI_ISL_1972537","Selangor"
"EPI_ISL_1972538","Negeri Sembilan"
"EPI_ISL_1972539","Negeri Sembilan"
"EPI_ISL_1972540","Negeri Sembilan"
"EPI_ISL_1972547","Negeri Sembilan"
"EPI_ISL_1972548","Pahang"
"EPI_ISL_1972549","Pahang"
"EPI_ISL_1972550","Pahang"
"EPI_ISL_1972551","Pahang"
"EPI_ISL_1972552","Pahang"
"EPI_ISL_1972553","Pahang"
"EPI_ISL_1972889","Perak"
"EPI_ISL_1972892","Selangor"
"EPI_ISL_1972893","Selangor"
"EPI_ISL_1972894","Melaka"
"EPI_ISL_1972895","Negeri Sembilan"
"EPI_ISL_1973324","Kelantan"
"EPI_ISL_1973325","Sarawak"
"EPI_ISL_1973326","Sarawak"
"EPI_ISL_1973327","Sarawak"
"EPI_ISL_1973328","Sarawak"
"EPI_ISL_2001114","Sabah"
"EPI_ISL_2001115","WP Kuala Lumpur"
"EPI_ISL_2001213","WP Kuala Lumpur"
"EPI_ISL_2001429","Negeri Sembilan"
"EPI_ISL_2001430","Selangor"
"EPI_ISL_2001481","Selangor"
"EPI_ISL_2001482","Selangor"
"EPI_ISL_2001643","Selangor"
"EPI_ISL_2001644","WP Kuala Lumpur"
"EPI_ISL_2001655","Selangor"
"EPI_ISL_2001656","WP Kuala Lumpur"
"EPI_ISL_2001659","Pahang"
"EPI_ISL_1972891","Melaka"
"EPI_ISL_2001645","WP Kuala Lumpur"
"EPI_ISL_2001654","WP Kuala Lumpur"
"EPI_ISL_2009116","Selangor"
"EPI_ISL_2009232","Selangor"
"EPI_ISL_2009233","Selangor"
"EPI_ISL_2009234","Selangor"
"EPI_ISL_2009305","Negeri Sembilan"
"EPI_ISL_2009529","Negeri Sembilan"
"EPI_ISL_2009530","Negeri Sembilan"
"EPI_ISL_2009595","Negeri Sembilan"
"EPI_ISL_2020075","Kelantan"
"EPI_ISL_2020076","Kelantan"
"EPI_ISL_2020077","Kelantan"
"EPI_ISL_2020078","Kelantan"
"EPI_ISL_2020165","Kelantan"
"EPI_ISL_2020166","Kelantan"
"EPI_ISL_2020167","Kelantan"
"EPI_ISL_2020238","Sarawak"
"EPI_ISL_2020239","Sarawak"
"EPI_ISL_2020240","Sarawak"
"EPI_ISL_1673338","Selangor"
"EPI_ISL_1673340","Selangor"
"EPI_ISL_2009193","Selangor"
"EPI_ISL_2090886","Selangor"
"EPI_ISL_2090887","Selangor"
"EPI_ISL_2090889","Selangor"
"EPI_ISL_2090890","Selangor"
"EPI_ISL_2090891","Selangor"
"EPI_ISL_2091000","Selangor"
"EPI_ISL_2091020","Selangor"
"EPI_ISL_2091022","Johor"
"EPI_ISL_2091024","Johor"
"EPI_ISL_2151509","Selangor"
"EPI_ISL_2151510","Selangor"
"EPI_ISL_2151541","Selangor"
"EPI_ISL_2151584","WP Kuala Lumpur"
"EPI_ISL_2233382","WP Labuan"
"EPI_ISL_2233383","Selangor"
"EPI_ISL_2233384","Johor"
"EPI_ISL_2342546","Selangor"
"EPI_ISL_2342547","Selangor"
"EPI_ISL_2342548","Selangor"
"EPI_ISL_2342549","Selangor"
"EPI_ISL_2342550","Selangor"
"EPI_ISL_2342551","Selangor"
"EPI_ISL_2342552","Selangor"
"EPI_ISL_2342553","Selangor"
"EPI_ISL_2342554","Johor"
"EPI_ISL_2342555","Johor"
"EPI_ISL_2342556","WP Kuala Lumpur"
"EPI_ISL_2342557","Selangor"
"EPI_ISL_2342558","Johor"
"EPI_ISL_2342559","Selangor"
"EPI_ISL_2342560","Johor"
"EPI_ISL_2342561","Johor"
"EPI_ISL_2342562","Johor"
"EPI_ISL_2342563","Johor"
"EPI_ISL_2342564","Selangor"
"EPI_ISL_2342565","Selangor"
